country,esco,date,count
ITALIA,Clerical support workers,2013-04-01,1
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-10-01,3
DEUTSCHLAND,Clerical support workers,2015-05-01,16349
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-12-01,17108
ITALIA,Technicians and associate professionals,2016-05-01,14931
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-07-01,15
UNITED KINGDOM,Clerical support workers,2015-08-01,34883
UNITED KINGDOM,Clerical support workers,2016-03-01,24981
DEUTSCHLAND,Elementary occupations,2016-05-01,31922
UNITED KINGDOM,Professionals,2013-06-01,3
DEUTSCHLAND,Elementary occupations,2013-12-01,2
ITALIA,Technicians and associate professionals,2016-06-01,11690
ITALIA,Managers,2015-10-01,1359
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-10-01,35
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-05-01,9
DEUTSCHLAND,Professionals,2016-06-01,5109
UNITED KINGDOM,Service and sales workers,2015-04-01,240
DEUTSCHLAND,Technicians and associate professionals,2013-09-01,13
DEUTSCHLAND,Technicians and associate professionals,2014-08-01,49
UNITED KINGDOM,Craft and related trades workers,2014-05-01,7
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-11-01,36
ITALIA,Technicians and associate professionals,2016-03-01,11555
IRELAND,Elementary occupations,2016-04-01,648
DEUTSCHLAND,Technicians and associate professionals,2012-07-01,19
DEUTSCHLAND,Technicians and associate professionals,2014-02-01,13
DEUTSCHLAND,Craft and related trades workers,2013-11-01,42
ITALIA,Technicians and associate professionals,2014-06-01,5
ČESKÁ REPUBLIKA,Elementary occupations,2015-06-01,3344
ČESKÁ REPUBLIKA,Service and sales workers,2015-08-01,3283
DEUTSCHLAND,Clerical support workers,2015-08-01,34028
DEUTSCHLAND,Professionals,2015-02-01,278
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-09-01,47
DEUTSCHLAND,Elementary occupations,2014-10-01,24
DEUTSCHLAND,Technicians and associate professionals,2013-08-01,20
DEUTSCHLAND,Managers,2015-01-01,60
DEUTSCHLAND,Clerical support workers,2014-06-01,43
ČESKÁ REPUBLIKA,Service and sales workers,2014-08-01,23
ČESKÁ REPUBLIKA,Managers,2015-02-01,27
ČESKÁ REPUBLIKA,Elementary occupations,2016-03-01,2657
IRELAND,Craft and related trades workers,2015-05-01,42
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-09-01,2
UNITED KINGDOM,Professionals,2012-10-01,2
UNITED KINGDOM,Managers,2014-08-01,15
DEUTSCHLAND,Clerical support workers,2012-06-01,11
DEUTSCHLAND,Professionals,2015-09-01,19074
DEUTSCHLAND,Technicians and associate professionals,2015-10-01,41327
DEUTSCHLAND,Managers,2015-11-01,5901
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-02-01,19267
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-09-01,28
IRELAND,Service and sales workers,2015-07-01,1678
DEUTSCHLAND,Managers,2013-10-01,5
DEUTSCHLAND,Craft and related trades workers,2012-01-01,18
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-04-01,115
ITALIA,Managers,2015-04-01,241
IRELAND,Craft and related trades workers,2015-07-01,282
UNITED KINGDOM,Craft and related trades workers,2015-04-01,38
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-07-01,10
ITALIA,Technicians and associate professionals,2014-03-01,9
UNITED KINGDOM,Service and sales workers,2012-10-01,2
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-03-01,22
UNITED KINGDOM,Technicians and associate professionals,2013-11-01,2
DEUTSCHLAND,Craft and related trades workers,2016-01-01,42424
ČESKÁ REPUBLIKA,Elementary occupations,2015-09-01,2562
ITALIA,Technicians and associate professionals,2015-05-01,5932
IRELAND,Craft and related trades workers,2016-01-01,207
UNITED KINGDOM,Clerical support workers,2015-12-01,14717
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-12-01,4948
DEUTSCHLAND,Managers,2014-10-01,31
IRELAND,Craft and related trades workers,2015-06-01,316
ČESKÁ REPUBLIKA,Elementary occupations,2014-04-01,3
ČESKÁ REPUBLIKA,Professionals,2015-04-01,757
ITALIA,Elementary occupations,2015-05-01,1339
ČESKÁ REPUBLIKA,Managers,2015-10-01,356
DEUTSCHLAND,Managers,2014-06-01,28
UNITED KINGDOM,Professionals,2015-06-01,141686
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-03-01,3307
ITALIA,Clerical support workers,2013-09-01,1
DEUTSCHLAND,Managers,2012-11-01,1
DEUTSCHLAND,Professionals,2015-05-01,16343
ČESKÁ REPUBLIKA,Professionals,2015-08-01,1865
ČESKÁ REPUBLIKA,Service and sales workers,2015-01-01,94
ITALIA,Service and sales workers,2015-10-01,3774
UNITED KINGDOM,Professionals,2015-05-01,62462
ITALIA,Craft and related trades workers,2011-09-01,1
ITALIA,Clerical support workers,2016-01-01,3136
ČESKÁ REPUBLIKA,Managers,2015-03-01,57
DEUTSCHLAND,Managers,2015-09-01,4259
DEUTSCHLAND,Managers,2013-07-01,7
UNITED KINGDOM,Managers,2015-01-01,46
IRELAND,"Plant and machine operators, and assemblers",2015-05-01,15
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-02-01,10
ITALIA,Professionals,2015-05-01,4034
UNITED KINGDOM,Clerical support workers,2015-01-01,73
DEUTSCHLAND,Technicians and associate professionals,2016-02-01,37331
IRELAND,"Plant and machine operators, and assemblers",2016-05-01,333
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-04-01,129
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-11-01,2
ČESKÁ REPUBLIKA,Service and sales workers,2014-05-01,2
DEUTSCHLAND,Technicians and associate professionals,2008-10-01,1
IRELAND,Elementary occupations,2016-06-01,432
DEUTSCHLAND,Professionals,2012-01-01,16
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-11-01,17
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-10-01,7
ITALIA,Professionals,2014-07-01,6
ITALIA,"Plant and machine operators, and assemblers",2015-10-01,3065
ČESKÁ REPUBLIKA,Professionals,2016-05-01,2520
DEUTSCHLAND,Technicians and associate professionals,2014-01-01,21
ITALIA,Clerical support workers,2013-12-01,1
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-11-01,6
ITALIA,Craft and related trades workers,2015-01-01,5
ČESKÁ REPUBLIKA,Managers,2014-04-01,3
ČESKÁ REPUBLIKA,Elementary occupations,2016-01-01,2141
DEUTSCHLAND,Elementary occupations,2015-03-01,217
IRELAND,Service and sales workers,2016-04-01,2301
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-03-01,236
UNITED KINGDOM,Professionals,2014-12-01,48
UNITED KINGDOM,Elementary occupations,2014-05-01,2
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-05-01,31
DEUTSCHLAND,Clerical support workers,2012-09-01,23
UNITED KINGDOM,Professionals,2015-07-01,159738
ITALIA,Managers,2015-12-01,806
DEUTSCHLAND,Service and sales workers,2014-12-01,67
DEUTSCHLAND,Clerical support workers,2012-11-01,11
DEUTSCHLAND,Service and sales workers,2013-10-01,4
UNITED KINGDOM,Elementary occupations,2015-11-01,8914
UNITED KINGDOM,Service and sales workers,2016-06-01,47251
DEUTSCHLAND,Elementary occupations,2012-09-01,11
DEUTSCHLAND,Managers,2014-08-01,15
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-05-01,4008
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-01-01,4
DEUTSCHLAND,Elementary occupations,2015-04-01,611
DEUTSCHLAND,Elementary occupations,2013-10-01,11
ITALIA,Elementary occupations,2015-08-01,66769
UNITED KINGDOM,Service and sales workers,2015-11-01,27683
DEUTSCHLAND,Professionals,2014-12-01,91
IRELAND,Managers,2015-08-01,4814
IRELAND,Professionals,2016-05-01,14900
DEUTSCHLAND,Craft and related trades workers,2014-03-01,26
UNITED KINGDOM,Service and sales workers,2014-03-01,5
ITALIA,Professionals,2012-09-01,2
DEUTSCHLAND,Service and sales workers,2013-01-01,3
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-01-01,3266
DEUTSCHLAND,Elementary occupations,2015-11-01,44649
DEUTSCHLAND,Elementary occupations,2015-12-01,38224
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-07-01,74
UNITED KINGDOM,Service and sales workers,2015-06-01,48423
DEUTSCHLAND,Professionals,2014-04-01,54
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-09-01,3
DEUTSCHLAND,Technicians and associate professionals,2012-08-01,9
DEUTSCHLAND,Managers,2012-07-01,3
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-02-01,6
ČESKÁ REPUBLIKA,Service and sales workers,2015-12-01,2411
ITALIA,Professionals,2015-06-01,9441
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-05-01,46
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-01-01,26
IRELAND,Service and sales workers,2015-04-01,5
DEUTSCHLAND,Service and sales workers,2014-05-01,7
ITALIA,Clerical support workers,2013-03-01,1
ITALIA,Clerical support workers,2015-01-01,8
DEUTSCHLAND,Service and sales workers,2015-07-01,25698
ČESKÁ REPUBLIKA,Elementary occupations,2015-08-01,2222
ITALIA,Craft and related trades workers,2016-01-01,2841
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-09-01,11502
UNITED KINGDOM,Service and sales workers,2016-05-01,56292
DEUTSCHLAND,Managers,2016-06-01,1630
IRELAND,Managers,2016-02-01,5888
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-05-01,458
DEUTSCHLAND,Professionals,2012-07-01,12
ITALIA,Service and sales workers,2013-03-01,1
DEUTSCHLAND,Technicians and associate professionals,2011-12-01,4
DEUTSCHLAND,Craft and related trades workers,2012-11-01,5
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-05-01,2
UNITED KINGDOM,Managers,2015-11-01,44885
DEUTSCHLAND,Professionals,2014-08-01,73
DEUTSCHLAND,Clerical support workers,2014-10-01,65
IRELAND,Managers,2015-05-01,346
ČESKÁ REPUBLIKA,Elementary occupations,2014-06-01,4
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-12-01,545
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-05-01,536
ČESKÁ REPUBLIKA,Managers,2014-12-01,6
UNITED KINGDOM,Craft and related trades workers,2016-01-01,7042
DEUTSCHLAND,Craft and related trades workers,2015-03-01,406
DEUTSCHLAND,Craft and related trades workers,2012-12-01,12
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-02-01,11
UNITED KINGDOM,Service and sales workers,2015-09-01,56912
UNITED KINGDOM,Professionals,2014-07-01,11
DEUTSCHLAND,Managers,2013-06-01,5
DEUTSCHLAND,Managers,2012-03-01,3
ITALIA,Technicians and associate professionals,2013-03-01,1
ITALIA,Clerical support workers,2014-12-01,2
ČESKÁ REPUBLIKA,Clerical support workers,2014-01-01,2
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-01-01,133
ČESKÁ REPUBLIKA,Professionals,2015-11-01,1699
ITALIA,Elementary occupations,2015-06-01,3384
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-11-01,28
UNITED KINGDOM,Professionals,2014-08-01,17
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-04-01,3906
UNITED KINGDOM,Clerical support workers,2013-07-01,2
ITALIA,"Plant and machine operators, and assemblers",2015-03-01,4
UNITED KINGDOM,Technicians and associate professionals,2009-03-01,2
DEUTSCHLAND,Clerical support workers,2013-08-01,27
ITALIA,Craft and related trades workers,2016-03-01,4807
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-07-01,694
IRELAND,Elementary occupations,2015-06-01,420
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-01-01,13
DEUTSCHLAND,Craft and related trades workers,2014-01-01,40
ČESKÁ REPUBLIKA,Clerical support workers,2016-05-01,2449
DEUTSCHLAND,Professionals,2014-07-01,81
ITALIA,Technicians and associate professionals,2014-05-01,13
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-05-01,3590
ITALIA,"Plant and machine operators, and assemblers",2015-01-01,2
DEUTSCHLAND,Elementary occupations,2012-11-01,8
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-06-01,2246
DEUTSCHLAND,Professionals,2012-05-01,11
DEUTSCHLAND,Craft and related trades workers,2014-11-01,64
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-06-01,21
DEUTSCHLAND,Craft and related trades workers,2012-08-01,16
UNITED KINGDOM,Clerical support workers,2014-09-01,10
IRELAND,"Plant and machine operators, and assemblers",2015-04-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2016-06-01,3001
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-04-01,3659
IRELAND,Craft and related trades workers,2016-03-01,239
UNITED KINGDOM,Managers,2014-05-01,16
DEUTSCHLAND,Craft and related trades workers,2012-04-01,6
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-07-01,2827
UNITED KINGDOM,Technicians and associate professionals,2016-05-01,101704
DEUTSCHLAND,Clerical support workers,2014-11-01,73
DEUTSCHLAND,Technicians and associate professionals,2015-02-01,131
DEUTSCHLAND,Craft and related trades workers,2016-02-01,41906
DEUTSCHLAND,Craft and related trades workers,2016-05-01,28424
IRELAND,Elementary occupations,2015-08-01,477
IRELAND,Elementary occupations,2016-01-01,569
DEUTSCHLAND,Professionals,2013-07-01,31
IRELAND,"Plant and machine operators, and assemblers",2016-02-01,165
ITALIA,"Skilled agricultural, forestry and fishery workers",2016-04-01,21
ITALIA,Professionals,2011-01-01,1
DEUTSCHLAND,Service and sales workers,2012-11-01,7
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-04-01,4
ITALIA,Managers,2014-11-01,2
DEUTSCHLAND,Professionals,2013-08-01,21
UNITED KINGDOM,Technicians and associate professionals,2016-02-01,41250
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-05-01,5434
DEUTSCHLAND,Elementary occupations,2011-11-01,4
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-07-01,25229
ČESKÁ REPUBLIKA,Service and sales workers,2016-03-01,3832
DEUTSCHLAND,Service and sales workers,2014-07-01,15
DEUTSCHLAND,Craft and related trades workers,2011-11-01,6
UNITED KINGDOM,Managers,2010-06-01,3
ITALIA,Managers,2013-11-01,1
DEUTSCHLAND,Service and sales workers,2016-02-01,17865
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-06-01,30593
UNITED KINGDOM,Service and sales workers,2015-07-01,59047
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-12-01,154
IRELAND,Craft and related trades workers,2015-11-01,220
ITALIA,Service and sales workers,2014-12-01,4
ČESKÁ REPUBLIKA,Clerical support workers,2015-02-01,47
IRELAND,Clerical support workers,2015-11-01,2260
DEUTSCHLAND,Craft and related trades workers,2009-04-01,1
ITALIA,"Plant and machine operators, and assemblers",2014-10-01,1
DEUTSCHLAND,Service and sales workers,2016-01-01,21731
ITALIA,Professionals,2016-04-01,9486
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-04-01,9080
UNITED KINGDOM,Technicians and associate professionals,2016-06-01,83708
IRELAND,Professionals,2015-12-01,11971
DEUTSCHLAND,Managers,2014-05-01,11
DEUTSCHLAND,Managers,2014-04-01,11
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-04-01,1
IRELAND,Service and sales workers,2016-05-01,2361
DEUTSCHLAND,Technicians and associate professionals,2013-12-01,22
UNITED KINGDOM,Craft and related trades workers,2015-02-01,3
ITALIA,Elementary occupations,2014-06-01,1
DEUTSCHLAND,Service and sales workers,2013-09-01,1
UNITED KINGDOM,Service and sales workers,2015-12-01,24611
ITALIA,Professionals,2016-03-01,9077
ČESKÁ REPUBLIKA,Managers,2015-11-01,308
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-05-01,19091
DEUTSCHLAND,Clerical support workers,2012-08-01,22
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-12-01,20
UNITED KINGDOM,Technicians and associate professionals,2011-12-01,1
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-05-01,5085
IRELAND,Technicians and associate professionals,2015-05-01,475
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-02-01,4
ITALIA,Technicians and associate professionals,2012-09-01,2
ITALIA,Clerical support workers,2013-05-01,2
UNITED KINGDOM,Managers,2013-06-01,3
ITALIA,Elementary occupations,2014-11-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2015-02-01,156
ITALIA,Craft and related trades workers,2015-08-01,143254
ITALIA,Elementary occupations,2015-10-01,1966
ITALIA,Managers,2015-05-01,608
ITALIA,Craft and related trades workers,2016-04-01,5259
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-06-01,8
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-05-01,13905
IRELAND,"Plant and machine operators, and assemblers",2015-12-01,139
ITALIA,Technicians and associate professionals,2013-06-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2014-04-01,7
DEUTSCHLAND,Elementary occupations,2015-02-01,72
DEUTSCHLAND,Clerical support workers,2016-03-01,7726
ČESKÁ REPUBLIKA,Managers,2015-04-01,135
UNITED KINGDOM,Technicians and associate professionals,2015-07-01,109359
UNITED KINGDOM,Technicians and associate professionals,2015-05-01,41470
DEUTSCHLAND,Service and sales workers,2014-06-01,6
DEUTSCHLAND,Clerical support workers,2012-10-01,19
ITALIA,Professionals,2014-10-01,10
DEUTSCHLAND,Service and sales workers,2016-03-01,1800
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-10-01,94
DEUTSCHLAND,Elementary occupations,2014-12-01,62
ITALIA,Technicians and associate professionals,2012-12-01,1
ITALIA,Professionals,2013-10-01,2
ITALIA,"Plant and machine operators, and assemblers",2016-05-01,4665
UNITED KINGDOM,Managers,2015-07-01,106585
ITALIA,Clerical support workers,2016-06-01,4748
ČESKÁ REPUBLIKA,Professionals,2015-06-01,2393
DEUTSCHLAND,Clerical support workers,2013-02-01,42
UNITED KINGDOM,Managers,2014-01-01,12
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2014-05-01,2
UNITED KINGDOM,Technicians and associate professionals,2014-04-01,8
DEUTSCHLAND,Managers,2013-09-01,6
UNITED KINGDOM,Elementary occupations,2013-11-01,1
ČESKÁ REPUBLIKA,Clerical support workers,2015-12-01,1391
ITALIA,Professionals,2015-09-01,312990
ITALIA,Service and sales workers,2016-02-01,2333
UNITED KINGDOM,Managers,2015-08-01,92364
UNITED KINGDOM,Elementary occupations,2015-05-01,5007
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-11-01,6324
DEUTSCHLAND,Craft and related trades workers,2012-02-01,16
DEUTSCHLAND,Clerical support workers,2012-01-01,11
IRELAND,Professionals,2015-05-01,730
ČESKÁ REPUBLIKA,Professionals,2014-09-01,17
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-05-01,3
ITALIA,Professionals,2014-08-01,13
UNITED KINGDOM,Professionals,2011-02-01,3
DEUTSCHLAND,Craft and related trades workers,2010-11-01,1
DEUTSCHLAND,Professionals,2016-02-01,28297
UNITED KINGDOM,Professionals,2015-09-01,124560
UNITED KINGDOM,Craft and related trades workers,2015-07-01,19162
DEUTSCHLAND,Craft and related trades workers,2012-03-01,16
UNITED KINGDOM,Professionals,2014-05-01,21
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-09-01,1
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-11-01,2465
DEUTSCHLAND,Craft and related trades workers,2016-04-01,17972
ČESKÁ REPUBLIKA,Elementary occupations,2016-06-01,2330
DEUTSCHLAND,Managers,2012-12-01,22
DEUTSCHLAND,Technicians and associate professionals,2014-11-01,58
IRELAND,Craft and related trades workers,2016-06-01,260
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-03-01,18
UNITED KINGDOM,Craft and related trades workers,2014-04-01,1
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-10-01,3146
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-04-01,3
DEUTSCHLAND,Professionals,2013-04-01,38
ITALIA,Clerical support workers,2015-02-01,5
ITALIA,Technicians and associate professionals,2014-09-01,11
ITALIA,Craft and related trades workers,2015-03-01,2
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-08-01,5
ITALIA,Craft and related trades workers,2014-10-01,3
UNITED KINGDOM,Professionals,2011-09-01,1
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-03-01,393
ČESKÁ REPUBLIKA,Clerical support workers,2015-07-01,1809
DEUTSCHLAND,"Plant and machine operators, and assemblers",2016-01-01,21779
ITALIA,Technicians and associate professionals,2015-07-01,69839
ITALIA,"Plant and machine operators, and assemblers",2016-03-01,3503
ITALIA,Craft and related trades workers,2016-05-01,6432
ITALIA,Managers,2015-11-01,1139
IRELAND,Craft and related trades workers,2016-05-01,384
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-07-01,14
DEUTSCHLAND,Managers,2013-04-01,8
ČESKÁ REPUBLIKA,Elementary occupations,2015-11-01,1995
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-06-01,14
ITALIA,Clerical support workers,2015-11-01,4880
IRELAND,Professionals,2015-10-01,17894
ČESKÁ REPUBLIKA,Elementary occupations,2014-09-01,14
ITALIA,Technicians and associate professionals,2011-06-01,1
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-08-01,1
DEUTSCHLAND,Professionals,2011-03-01,1
ITALIA,Managers,2015-09-01,32324
ITALIA,Service and sales workers,2015-04-01,1054
IRELAND,Clerical support workers,2015-08-01,1879
IRELAND,Technicians and associate professionals,2015-09-01,8314
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-11-01,27
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-06-01,17
UNITED KINGDOM,Professionals,2016-02-01,62065
IRELAND,Managers,2016-04-01,7246
IRELAND,Managers,2016-06-01,4117
DEUTSCHLAND,Professionals,2012-02-01,7
UNITED KINGDOM,Managers,2011-05-01,1
UNITED KINGDOM,Service and sales workers,2014-01-01,9
DEUTSCHLAND,Service and sales workers,2013-08-01,9
UNITED KINGDOM,Professionals,2014-02-01,17
DEUTSCHLAND,Clerical support workers,2015-12-01,27127
ITALIA,Clerical support workers,2016-05-01,7920
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-05-01,3322
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-03-01,24
DEUTSCHLAND,Craft and related trades workers,2014-09-01,55
ITALIA,Clerical support workers,2015-03-01,10
DEUTSCHLAND,Service and sales workers,2013-06-01,4
DEUTSCHLAND,Elementary occupations,2015-08-01,47084
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-10-01,3120
ITALIA,Service and sales workers,2015-12-01,2469
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-06-01,10
UNITED KINGDOM,Clerical support workers,2015-05-01,13636
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-06-01,2520
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-08-01,5
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-04-01,393
DEUTSCHLAND,Service and sales workers,2015-03-01,210
IRELAND,Professionals,2016-04-01,15307
DEUTSCHLAND,Service and sales workers,2012-05-01,6
ČESKÁ REPUBLIKA,Elementary occupations,2014-08-01,5
ITALIA,Clerical support workers,2015-12-01,3686
UNITED KINGDOM,Craft and related trades workers,2016-02-01,5022
UNITED KINGDOM,Craft and related trades workers,2015-11-01,5774
DEUTSCHLAND,Elementary occupations,2015-01-01,68
UNITED KINGDOM,Managers,2012-09-01,1
DEUTSCHLAND,Professionals,2015-11-01,32113
ITALIA,"Plant and machine operators, and assemblers",2015-07-01,15647
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-12-01,47
DEUTSCHLAND,Professionals,2014-11-01,83
UNITED KINGDOM,Professionals,2013-12-01,7
DEUTSCHLAND,Elementary occupations,2016-04-01,14722
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-01-01,73
UNITED KINGDOM,Professionals,2015-02-01,93
ITALIA,Service and sales workers,2015-02-01,2
DEUTSCHLAND,Managers,2013-01-01,7
DEUTSCHLAND,Elementary occupations,2016-02-01,28139
DEUTSCHLAND,Professionals,2012-06-01,21
DEUTSCHLAND,Service and sales workers,2014-08-01,15
ITALIA,Craft and related trades workers,2011-07-01,1
DEUTSCHLAND,Elementary occupations,2016-01-01,43140
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-06-01,15205
IRELAND,Elementary occupations,2015-11-01,563
DEUTSCHLAND,Professionals,2014-10-01,109
DEUTSCHLAND,Elementary occupations,2012-02-01,6
UNITED KINGDOM,Professionals,2014-04-01,16
ČESKÁ REPUBLIKA,Clerical support workers,2014-08-01,2
UNITED KINGDOM,Craft and related trades workers,2015-01-01,2
ITALIA,Clerical support workers,2014-10-01,1
UNITED KINGDOM,Professionals,2015-10-01,34733
ITALIA,Technicians and associate professionals,2016-04-01,12542
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-06-01,12685
DEUTSCHLAND,Professionals,2012-12-01,12
UNITED KINGDOM,Elementary occupations,2015-04-01,21
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-02-01,2
IRELAND,Clerical support workers,2016-03-01,2227
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-08-01,2877
ITALIA,Technicians and associate professionals,2015-09-01,419430
DEUTSCHLAND,Technicians and associate professionals,2014-10-01,58
IRELAND,Professionals,2015-04-01,9
ITALIA,Managers,2015-03-01,5
UNITED KINGDOM,Clerical support workers,2014-12-01,6
ITALIA,Service and sales workers,2013-08-01,1
UNITED KINGDOM,Craft and related trades workers,2014-07-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2013-10-01,1
ITALIA,Service and sales workers,2015-08-01,91586
UNITED KINGDOM,Service and sales workers,2015-08-01,53988
ČESKÁ REPUBLIKA,Professionals,2016-02-01,1847
UNITED KINGDOM,Elementary occupations,2015-12-01,5727
UNITED KINGDOM,Managers,2014-11-01,23
ČESKÁ REPUBLIKA,Service and sales workers,2014-07-01,19
DEUTSCHLAND,Managers,2012-08-01,7
DEUTSCHLAND,Service and sales workers,2013-03-01,1
UNITED KINGDOM,Elementary occupations,2014-03-01,1
DEUTSCHLAND,Service and sales workers,2014-02-01,5
ČESKÁ REPUBLIKA,Service and sales workers,2014-10-01,23
DEUTSCHLAND,Clerical support workers,2011-11-01,9
IRELAND,Technicians and associate professionals,2016-01-01,6946
UNITED KINGDOM,Managers,2013-05-01,1
UNITED KINGDOM,Service and sales workers,2014-07-01,9
UNITED KINGDOM,Elementary occupations,2014-12-01,4
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-08-01,91
DEUTSCHLAND,Technicians and associate professionals,2015-06-01,50362
UNITED KINGDOM,Managers,2016-05-01,94129
DEUTSCHLAND,Professionals,2012-09-01,38
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-03-01,299
UNITED KINGDOM,Service and sales workers,2014-02-01,4
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-12-01,35
ITALIA,Elementary occupations,2015-04-01,597
DEUTSCHLAND,Craft and related trades workers,2015-07-01,51138
DEUTSCHLAND,Craft and related trades workers,2013-04-01,18
