country,esco,S_YEAR_MONTH,count,date
Cyprus,Elementary occupations,2016/09,43,2016-09-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2016/03,54,2016-03-01
Luxembourg,Service and sales workers,2015/08,2,2015-08-01
Luxembourg,Craft and related trades workers,2016/01,1,2016-01-01
Greece,Service and sales workers,2015/05,495,2015-05-01
Spain,Elementary occupations,2015/05,1591,2015-05-01
Portugal,"Plant and machine operators, and assemblers",2015/06,301,2015-06-01
Bulgaria,Clerical support workers,2015/06,688,2015-06-01
Croatia,Technicians and associate professionals,2015/07,2671,2015-07-01
Netherlands,Managers,2015/07,260,2015-07-01
Slovenia,Professionals,2015/09,1264,2015-09-01
Croatia,Craft and related trades workers,2015/10,1369,2015-10-01
Croatia,Managers,2015/11,1214,2015-11-01
Czech Republic,Technicians and associate professionals,2015/11,450,2015-11-01
Spain,Clerical support workers,2015/12,4406,2015-12-01
Slovakia,Professionals,2016/02,391,2016-02-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2016/04,113,2016-04-01
United Kingdom,Elementary occupations,2016/05,97,2016-05-01
Croatia,Clerical support workers,2016/07,1511,2016-07-01
Greece,Clerical support workers,2016/08,1283,2016-08-01
Czech Republic,Elementary occupations,2016/09,293,2016-09-01
Latvia,Craft and related trades workers,2015/08,79,2015-08-01
Slovakia,Elementary occupations,2016/08,137,2016-08-01
France,Elementary occupations,2016/02,204,2016-02-01
United Kingdom,Craft and related trades workers,2016/02,75,2016-02-01
Latvia,Managers,2016/08,171,2016-08-01
Malta,Professionals,2015/08,122,2015-08-01
Austria,Clerical support workers,2015/06,79,2015-06-01
Italy,Armed forces occupations,2016/04,12,2016-04-01
Belgium,"Skilled agricultural, forestry and fishery workers",2016/03,18,2016-03-01
Malta,"Skilled agricultural, forestry and fishery workers",2016/08,5,2016-08-01
United Kingdom,Armed forces occupations,2016/02,1,2016-02-01
Finland,Technicians and associate professionals,2015/04,968,2015-04-01
Sweden,Craft and related trades workers,2015/04,66,2015-04-01
Romania,Clerical support workers,2015/05,1235,2015-05-01
Lithuania,Service and sales workers,2015/05,228,2015-05-01
Finland,Technicians and associate professionals,2015/07,568,2015-07-01
Slovakia,Technicians and associate professionals,2015/08,174,2015-08-01
Finland,Professionals,2015/09,1202,2015-09-01
Belgium,Service and sales workers,2015/10,290,2015-10-01
Hungary,Elementary occupations,2015/11,1144,2015-11-01
Greece,Elementary occupations,2015/12,371,2015-12-01
United Kingdom,Professionals,2016/04,1102,2016-04-01
Poland,Armed forces occupations,2016/08,7,2016-08-01
Finland,Clerical support workers,2016/08,575,2016-08-01
France,Professionals,2016/10,5146,2016-10-01
Bulgaria,Elementary occupations,2016/11,743,2016-11-01
Finland,Service and sales workers,2015/04,770,2015-04-01
France,Elementary occupations,2015/05,75,2015-05-01
Czech Republic,"Plant and machine operators, and assemblers",2016/05,191,2016-05-01
Slovenia,Elementary occupations,2016/10,262,2016-10-01
Sweden,Craft and related trades workers,2015/05,34,2015-05-01
Denmark,Professionals,2015/03,144,2015-03-01
Sweden,Craft and related trades workers,2016/05,48,2016-05-01
Cyprus,Clerical support workers,2016/09,65,2016-09-01
Netherlands,Elementary occupations,2015/04,56,2015-04-01
Denmark,Craft and related trades workers,2015/03,8,2015-03-01
Sweden,"Skilled agricultural, forestry and fishery workers",2015/07,8,2015-07-01
Denmark,"Plant and machine operators, and assemblers",2015/06,5,2015-06-01
Estonia,Armed forces occupations,2016/08,1,2016-08-01
Latvia,Clerical support workers,2015/06,94,2015-06-01
Bulgaria,Service and sales workers,2015/08,903,2015-08-01
Finland,Technicians and associate professionals,2015/08,593,2015-08-01
Germany,Technicians and associate professionals,2015/08,730,2015-08-01
Lithuania,Service and sales workers,2015/08,246,2015-08-01
Belgium,Professionals,2015/09,1577,2015-09-01
Portugal,Service and sales workers,2015/09,980,2015-09-01
Bulgaria,Managers,2015/10,604,2015-10-01
Spain,Technicians and associate professionals,2015/11,9359,2015-11-01
Malta,Professionals,2016/02,137,2016-02-01
Croatia,Professionals,2016/05,6094,2016-05-01
Poland,Managers,2016/07,715,2016-07-01
Poland,Craft and related trades workers,2016/08,1462,2016-08-01
Sweden,Service and sales workers,2016/09,353,2016-09-01
Portugal,Craft and related trades workers,2016/10,591,2016-10-01
Hungary,Craft and related trades workers,2016/10,673,2016-10-01
Germany,Service and sales workers,2016/02,368,2016-02-01
United Kingdom,Technicians and associate professionals,2016/02,453,2016-02-01
Czech Republic,Service and sales workers,2016/05,413,2016-05-01
Netherlands,Clerical support workers,2016/05,242,2016-05-01
Denmark,Technicians and associate professionals,2016/11,140,2016-11-01
United Kingdom,"Plant and machine operators, and assemblers",2015/08,43,2015-08-01
Malta,Managers,2015/09,44,2015-09-01
Austria,Elementary occupations,2016/06,30,2016-06-01
Denmark,Elementary occupations,2016/10,20,2016-10-01
Luxembourg,Managers,2015/07,17,2015-07-01
Bulgaria,Armed forces occupations,2015/05,1,2015-05-01
Luxembourg,Elementary occupations,2015/03,3,2015-03-01
Croatia,Armed forces occupations,2015/05,6,2015-05-01
Austria,Service and sales workers,2015/03,37,2015-03-01
Czech Republic,Technicians and associate professionals,2015/05,320,2015-05-01
United Kingdom,Professionals,2015/06,777,2015-06-01
Spain,Craft and related trades workers,2015/11,1813,2015-11-01
Spain,"Plant and machine operators, and assemblers",2015/12,1370,2015-12-01
Romania,Clerical support workers,2016/01,1665,2016-01-01
Greece,Professionals,2016/08,5744,2016-08-01
Romania,Clerical support workers,2016/08,1900,2016-08-01
Romania,Craft and related trades workers,2016/08,1844,2016-08-01
France,Technicians and associate professionals,2016/10,2390,2016-10-01
Belgium,"Plant and machine operators, and assemblers",2016/11,68,2016-11-01
Malta,Clerical support workers,2015/04,54,2015-04-01
Netherlands,Clerical support workers,2015/08,174,2015-08-01
Hungary,Elementary occupations,2016/09,1293,2016-09-01
Slovenia,Service and sales workers,2016/05,447,2016-05-01
Czech Republic,Managers,2016/07,238,2016-07-01
Malta,Technicians and associate professionals,2015/03,44,2015-03-01
Hungary,"Skilled agricultural, forestry and fishery workers",2016/03,92,2016-03-01
Estonia,"Skilled agricultural, forestry and fishery workers",2016/08,36,2016-08-01
Estonia,Elementary occupations,2015/10,109,2015-10-01
Estonia,Elementary occupations,2015/11,113,2015-11-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/07,31,2016-07-01
Greece,Armed forces occupations,2015/11,4,2015-11-01
Luxembourg,"Plant and machine operators, and assemblers",2016/01,3,2016-01-01
Greece,Armed forces occupations,2015/08,3,2015-08-01
Estonia,Armed forces occupations,2016/01,1,2016-01-01
Denmark,Technicians and associate professionals,2015/03,61,2015-03-01
United Kingdom,Craft and related trades workers,2015/04,110,2015-04-01
Slovenia,Clerical support workers,2015/10,327,2015-10-01
Portugal,Managers,2016/02,963,2016-02-01
Poland,Clerical support workers,2016/02,1469,2016-02-01
Czech Republic,Technicians and associate professionals,2016/03,488,2016-03-01
United Kingdom,Managers,2016/05,311,2016-05-01
Belgium,"Plant and machine operators, and assemblers",2016/06,58,2016-06-01
Germany,Service and sales workers,2016/07,435,2016-07-01
France,Managers,2016/08,1571,2016-08-01
Hungary,Elementary occupations,2016/08,1285,2016-08-01
Sweden,Technicians and associate professionals,2016/10,444,2016-10-01
Poland,Craft and related trades workers,2016/10,1495,2016-10-01
France,Technicians and associate professionals,2016/11,2459,2016-11-01
Bulgaria,Professionals,2015/04,3426,2015-04-01
United Kingdom,Craft and related trades workers,2016/05,95,2016-05-01
Lithuania,Craft and related trades workers,2016/05,223,2016-05-01
Greece,Elementary occupations,2016/07,438,2016-07-01
Czech Republic,Managers,2016/08,242,2016-08-01
Slovenia,Craft and related trades workers,2016/02,192,2016-02-01
Finland,Craft and related trades workers,2016/01,145,2016-01-01
Luxembourg,Professionals,2015/09,36,2015-09-01
Luxembourg,"Plant and machine operators, and assemblers",2015/08,1,2015-08-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2015/06,17,2015-06-01
Luxembourg,Craft and related trades workers,2015/05,1,2015-05-01
Austria,"Skilled agricultural, forestry and fishery workers",2015/06,1,2015-06-01
Hungary,Elementary occupations,2015/03,928,2015-03-01
Slovakia,Service and sales workers,2015/03,94,2015-03-01
Sweden,Clerical support workers,2015/04,296,2015-04-01
Hungary,Clerical support workers,2015/06,1062,2015-06-01
Cyprus,Managers,2015/06,80,2015-06-01
Greece,Managers,2015/10,747,2015-10-01
United Kingdom,Managers,2015/11,238,2015-11-01
Finland,Technicians and associate professionals,2015/11,648,2015-11-01
Spain,"Plant and machine operators, and assemblers",2016/01,1398,2016-01-01
Croatia,Technicians and associate professionals,2016/01,3058,2016-01-01
Greece,Clerical support workers,2016/03,1155,2016-03-01
Croatia,"Skilled agricultural, forestry and fishery workers",2016/03,218,2016-03-01
Sweden,Technicians and associate professionals,2016/06,406,2016-06-01
Belgium,Technicians and associate professionals,2016/09,918,2016-09-01
Spain,Service and sales workers,2016/10,6024,2016-10-01
Czech Republic,Elementary occupations,2016/10,295,2016-10-01
Spain,Clerical support workers,2016/11,5574,2016-11-01
Portugal,Clerical support workers,2016/11,1180,2016-11-01
Croatia,Elementary occupations,2015/05,631,2015-05-01
Austria,Technicians and associate professionals,2015/05,106,2015-05-01
Portugal,Craft and related trades workers,2015/11,435,2015-11-01
Malta,Technicians and associate professionals,2016/08,61,2016-08-01
Austria,Managers,2016/02,96,2016-02-01
Netherlands,Armed forces occupations,2016/07,1,2016-07-01
Slovakia,Craft and related trades workers,2015/07,40,2015-07-01
Denmark,"Plant and machine operators, and assemblers",2015/07,5,2015-07-01
Luxembourg,Craft and related trades workers,2015/12,1,2015-12-01
Germany,Clerical support workers,2015/03,326,2015-03-01
Portugal,Clerical support workers,2015/08,804,2015-08-01
Greece,Clerical support workers,2015/08,861,2015-08-01
Hungary,Clerical support workers,2016/01,1268,2016-01-01
Croatia,Craft and related trades workers,2016/03,1598,2016-03-01
Portugal,Service and sales workers,2016/04,1187,2016-04-01
Croatia,Clerical support workers,2016/06,1486,2016-06-01
Sweden,"Plant and machine operators, and assemblers",2016/06,39,2016-06-01
Slovenia,Clerical support workers,2016/08,456,2016-08-01
Romania,"Plant and machine operators, and assemblers",2016/10,1760,2016-10-01
Greece,Service and sales workers,2016/11,971,2016-11-01
Greece,"Skilled agricultural, forestry and fishery workers",2015/12,50,2015-12-01
Greece,"Plant and machine operators, and assemblers",2016/01,388,2016-01-01
Cyprus,Managers,2016/03,102,2016-03-01
Denmark,Elementary occupations,2016/06,20,2016-06-01
Denmark,Clerical support workers,2016/06,86,2016-06-01
Slovenia,"Plant and machine operators, and assemblers",2015/04,196,2015-04-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/04,48,2015-04-01
United Kingdom,Elementary occupations,2016/06,102,2016-06-01
Slovakia,"Plant and machine operators, and assemblers",2016/01,51,2016-01-01
Denmark,Managers,2016/01,55,2016-01-01
Malta,Clerical support workers,2015/07,28,2015-07-01
Malta,Craft and related trades workers,2015/07,10,2015-07-01
Belgium,"Skilled agricultural, forestry and fishery workers",2016/11,17,2016-11-01
Malta,Elementary occupations,2015/03,8,2015-03-01
Bulgaria,Armed forces occupations,2015/04,2,2015-04-01
Germany,Professionals,2015/05,1590,2015-05-01
Croatia,Professionals,2015/06,4651,2015-06-01
Bulgaria,Service and sales workers,2015/06,850,2015-06-01
Poland,Service and sales workers,2015/11,1126,2015-11-01
Netherlands,Clerical support workers,2015/11,195,2015-11-01
Slovenia,Managers,2015/12,258,2015-12-01
Romania,Elementary occupations,2015/12,1712,2015-12-01
Netherlands,Technicians and associate professionals,2016/02,460,2016-02-01
France,Technicians and associate professionals,2016/07,2249,2016-07-01
Slovakia,Service and sales workers,2016/07,137,2016-07-01
Greece,Service and sales workers,2016/08,910,2016-08-01
Hungary,Professionals,2016/10,3257,2016-10-01
Austria,Managers,2016/10,125,2016-10-01
Czech Republic,Craft and related trades workers,2016/08,187,2016-08-01
Slovakia,Service and sales workers,2016/11,152,2016-11-01
Slovakia,Technicians and associate professionals,2015/09,176,2015-09-01
Germany,Elementary occupations,2016/06,114,2016-06-01
Cyprus,Managers,2015/12,94,2015-12-01
Denmark,Clerical support workers,2015/09,58,2015-09-01
Italy,Armed forces occupations,2015/12,9,2015-12-01
Austria,Elementary occupations,2015/10,11,2015-10-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2016/08,34,2016-08-01
Netherlands,Armed forces occupations,2016/05,1,2016-05-01
Portugal,"Skilled agricultural, forestry and fishery workers",2015/06,41,2015-06-01
Denmark,Elementary occupations,2016/05,17,2016-05-01
Austria,Craft and related trades workers,2015/03,25,2015-03-01
Denmark,"Skilled agricultural, forestry and fishery workers",2016/02,5,2016-02-01
Spain,Armed forces occupations,2016/11,3,2016-11-01
Portugal,Clerical support workers,2015/03,690,2015-03-01
Latvia,Service and sales workers,2015/04,156,2015-04-01
Cyprus,Technicians and associate professionals,2015/04,346,2015-04-01
Italy,Craft and related trades workers,2015/09,2541,2015-09-01
Netherlands,Technicians and associate professionals,2015/09,375,2015-09-01
Poland,Craft and related trades workers,2015/11,1206,2015-11-01
Hungary,"Skilled agricultural, forestry and fishery workers",2015/12,94,2015-12-01
Lithuania,Managers,2016/01,257,2016-01-01
Austria,Managers,2016/03,103,2016-03-01
Croatia,Professionals,2016/09,6464,2016-09-01
Germany,Clerical support workers,2016/09,681,2016-09-01
Finland,Elementary occupations,2016/10,248,2016-10-01
Poland,Clerical support workers,2016/11,1758,2016-11-01
Greece,"Plant and machine operators, and assemblers",2015/03,244,2015-03-01
Slovenia,"Plant and machine operators, and assemblers",2016/04,161,2016-04-01
Finland,Clerical support workers,2016/05,532,2016-05-01
Denmark,Clerical support workers,2015/11,64,2015-11-01
United Kingdom,Technicians and associate professionals,2016/10,589,2016-10-01
Estonia,"Skilled agricultural, forestry and fishery workers",2015/12,30,2015-12-01
Luxembourg,Professionals,2016/10,62,2016-10-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2016/01,31,2016-01-01
Denmark,Craft and related trades workers,2015/06,11,2015-06-01
Austria,Managers,2016/04,105,2016-04-01
Finland,"Skilled agricultural, forestry and fishery workers",2015/08,23,2015-08-01
Cyprus,Elementary occupations,2016/06,43,2016-06-01
Croatia,Armed forces occupations,2016/01,7,2016-01-01
Sweden,Service and sales workers,2015/07,243,2015-07-01
Finland,Elementary occupations,2015/07,168,2015-07-01
Croatia,Technicians and associate professionals,2015/10,2906,2015-10-01
Italy,Service and sales workers,2015/11,6820,2015-11-01
Slovenia,"Plant and machine operators, and assemblers",2015/11,128,2015-11-01
Finland,Service and sales workers,2016/02,586,2016-02-01
Belgium,Professionals,2016/05,2071,2016-05-01
France,Craft and related trades workers,2016/05,296,2016-05-01
Germany,Service and sales workers,2016/06,426,2016-06-01
Finland,Service and sales workers,2016/07,657,2016-07-01
United Kingdom,Professionals,2016/09,1284,2016-09-01
Greece,Elementary occupations,2016/09,477,2016-09-01
Czech Republic,Clerical support workers,2016/10,485,2016-10-01
United Kingdom,Managers,2015/04,372,2015-04-01
Estonia,Service and sales workers,2015/05,140,2015-05-01
France,Managers,2015/06,896,2015-06-01
Czech Republic,Elementary occupations,2015/11,216,2015-11-01
Czech Republic,"Plant and machine operators, and assemblers",2016/04,190,2016-04-01
Sweden,Technicians and associate professionals,2016/11,460,2016-11-01
Germany,Craft and related trades workers,2016/06,271,2016-06-01
Germany,"Plant and machine operators, and assemblers",2015/10,120,2015-10-01
Portugal,Clerical support workers,2015/04,1438,2015-04-01
Finland,"Skilled agricultural, forestry and fishery workers",2015/04,42,2015-04-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/12,2,2015-12-01
Croatia,Armed forces occupations,2016/03,7,2016-03-01
Luxembourg,Elementary occupations,2016/11,5,2016-11-01
Germany,Managers,2015/03,396,2015-03-01
Poland,Professionals,2015/07,2575,2015-07-01
Croatia,"Plant and machine operators, and assemblers",2015/07,773,2015-07-01
Poland,"Skilled agricultural, forestry and fishery workers",2016/03,203,2016-03-01
Poland,Craft and related trades workers,2016/06,1410,2016-06-01
Greece,Craft and related trades workers,2016/08,614,2016-08-01
Cyprus,Professionals,2016/10,696,2016-10-01
Bulgaria,Technicians and associate professionals,2016/11,1603,2016-11-01
Denmark,Professionals,2016/11,334,2016-11-01
Finland,Managers,2015/03,225,2015-03-01
Denmark,Managers,2015/09,45,2015-09-01
Czech Republic,"Plant and machine operators, and assemblers",2015/11,166,2015-11-01
Spain,"Skilled agricultural, forestry and fishery workers",2015/12,461,2015-12-01
United Kingdom,Service and sales workers,2016/05,300,2016-05-01
Belgium,Professionals,2016/09,2219,2016-09-01
Cyprus,Technicians and associate professionals,2016/05,219,2016-05-01
Finland,Clerical support workers,2016/10,591,2016-10-01
Austria,Craft and related trades workers,2015/06,27,2015-06-01
Lithuania,Craft and related trades workers,2015/07,153,2015-07-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/05,4,2015-05-01
Malta,Clerical support workers,2015/10,33,2015-10-01
United Kingdom,"Plant and machine operators, and assemblers",2016/02,50,2016-02-01
Sweden,Craft and related trades workers,2015/03,32,2015-03-01
Denmark,"Skilled agricultural, forestry and fishery workers",2016/11,7,2016-11-01
Denmark,"Skilled agricultural, forestry and fishery workers",2016/09,7,2016-09-01
Belgium,Professionals,2015/03,1173,2015-03-01
United Kingdom,Technicians and associate professionals,2015/03,290,2015-03-01
Poland,Service and sales workers,2015/04,1596,2015-04-01
France,Service and sales workers,2015/07,601,2015-07-01
Lithuania,Technicians and associate professionals,2015/07,381,2015-07-01
Romania,Clerical support workers,2015/08,1406,2015-08-01
Croatia,Clerical support workers,2015/08,1111,2015-08-01
Italy,Technicians and associate professionals,2015/12,12062,2015-12-01
Portugal,"Plant and machine operators, and assemblers",2015/12,375,2015-12-01
Croatia,"Plant and machine operators, and assemblers",2015/12,912,2015-12-01
Bulgaria,Service and sales workers,2015/12,1033,2015-12-01
Czech Republic,Craft and related trades workers,2016/05,176,2016-05-01
Spain,Service and sales workers,2016/06,5551,2016-06-01
Bulgaria,Clerical support workers,2016/10,940,2016-10-01
Slovenia,Technicians and associate professionals,2016/10,788,2016-10-01
Belgium,Managers,2015/09,284,2015-09-01
Spain,"Skilled agricultural, forestry and fishery workers",2016/09,553,2016-09-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2015/07,17,2015-07-01
Estonia,Craft and related trades workers,2015/09,92,2015-09-01
Czech Republic,Technicians and associate professionals,2016/01,454,2016-01-01
Slovakia,Clerical support workers,2016/02,145,2016-02-01
Slovakia,Craft and related trades workers,2015/11,47,2015-11-01
Slovakia,"Plant and machine operators, and assemblers",2016/02,52,2016-02-01
Denmark,Elementary occupations,2016/08,20,2016-08-01
Belgium,Professionals,2015/04,2508,2015-04-01
France,Elementary occupations,2015/06,77,2015-06-01
Malta,Professionals,2015/06,104,2015-06-01
France,Managers,2015/08,969,2015-08-01
Croatia,Managers,2015/08,1161,2015-08-01
Hungary,Clerical support workers,2015/12,1221,2015-12-01
Greece,"Skilled agricultural, forestry and fishery workers",2016/01,50,2016-01-01
Greece,Managers,2016/02,873,2016-02-01
Bulgaria,Elementary occupations,2016/02,648,2016-02-01
Bulgaria,"Plant and machine operators, and assemblers",2016/03,646,2016-03-01
Italy,Elementary occupations,2016/04,2903,2016-04-01
Spain,Clerical support workers,2016/04,4891,2016-04-01
Croatia,Craft and related trades workers,2016/07,1684,2016-07-01
Hungary,Craft and related trades workers,2016/07,658,2016-07-01
Austria,Technicians and associate professionals,2015/09,129,2015-09-01
Lithuania,Managers,2015/10,234,2015-10-01
Finland,Managers,2016/02,380,2016-02-01
Czech Republic,Clerical support workers,2016/07,447,2016-07-01
Luxembourg,Managers,2016/11,17,2016-11-01
Luxembourg,"Plant and machine operators, and assemblers",2016/11,3,2016-11-01
Sweden,"Plant and machine operators, and assemblers",2015/03,21,2015-03-01
Denmark,Clerical support workers,2015/05,42,2015-05-01
Denmark,Craft and related trades workers,2016/10,20,2016-10-01
Malta,"Skilled agricultural, forestry and fishery workers",2016/06,5,2016-06-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/08,16,2015-08-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/11,5,2015-11-01
Bulgaria,Armed forces occupations,2015/06,1,2015-06-01
Spain,Service and sales workers,2015/04,6974,2015-04-01
Croatia,Managers,2015/04,2054,2015-04-01
Germany,Service and sales workers,2015/04,482,2015-04-01
Finland,"Plant and machine operators, and assemblers",2016/01,125,2016-01-01
Croatia,"Plant and machine operators, and assemblers",2016/01,932,2016-01-01
Slovakia,Technicians and associate professionals,2016/02,205,2016-02-01
Latvia,Craft and related trades workers,2016/04,113,2016-04-01
Slovenia,Technicians and associate professionals,2016/05,724,2016-05-01
Slovenia,Professionals,2016/07,1596,2016-07-01
Greece,Craft and related trades workers,2016/07,600,2016-07-01
Lithuania,Clerical support workers,2016/09,321,2016-09-01
Germany,Professionals,2016/08,2849,2016-08-01
Hungary,"Plant and machine operators, and assemblers",2016/06,421,2016-06-01
Czech Republic,Elementary occupations,2015/06,179,2015-06-01
Netherlands,Service and sales workers,2015/10,237,2015-10-01
Estonia,"Plant and machine operators, and assemblers",2016/10,102,2016-10-01
Estonia,Clerical support workers,2016/03,133,2016-03-01
Austria,Managers,2015/08,72,2015-08-01
Slovakia,Professionals,2016/09,445,2016-09-01
Slovakia,Elementary occupations,2016/02,118,2016-02-01
Estonia,"Skilled agricultural, forestry and fishery workers",2015/05,31,2015-05-01
Luxembourg,Technicians and associate professionals,2016/09,28,2016-09-01
Cyprus,Clerical support workers,2016/04,64,2016-04-01
Finland,"Skilled agricultural, forestry and fishery workers",2015/05,21,2015-05-01
Luxembourg,"Plant and machine operators, and assemblers",2016/06,3,2016-06-01
Spain,Managers,2015/03,1911,2015-03-01
Germany,Professionals,2015/07,1741,2015-07-01
Latvia,Elementary occupations,2015/08,86,2015-08-01
Hungary,Craft and related trades workers,2015/11,583,2015-11-01
France,Service and sales workers,2015/11,779,2015-11-01
Poland,"Plant and machine operators, and assemblers",2016/05,1198,2016-05-01
Croatia,Technicians and associate professionals,2016/07,3420,2016-07-01
Spain,Technicians and associate professionals,2016/09,12034,2016-09-01
Croatia,Technicians and associate professionals,2016/10,3560,2016-10-01
United Kingdom,Technicians and associate professionals,2015/11,406,2015-11-01
Austria,Clerical support workers,2015/09,91,2015-09-01
United Kingdom,Clerical support workers,2016/02,231,2016-02-01
Belgium,Service and sales workers,2016/02,329,2016-02-01
Slovakia,Craft and related trades workers,2015/08,42,2015-08-01
Latvia,Clerical support workers,2016/03,122,2016-03-01
Luxembourg,Managers,2016/03,20,2016-03-01
Netherlands,"Plant and machine operators, and assemblers",2015/10,43,2015-10-01
Finland,"Skilled agricultural, forestry and fishery workers",2015/03,20,2015-03-01
Finland,Elementary occupations,2015/03,152,2015-03-01
Cyprus,Craft and related trades workers,2016/09,33,2016-09-01
Slovakia,Craft and related trades workers,2016/03,59,2016-03-01
Cyprus,"Plant and machine operators, and assemblers",2016/01,14,2016-01-01
Luxembourg,Service and sales workers,2015/10,3,2015-10-01
Luxembourg,"Plant and machine operators, and assemblers",2016/05,3,2016-05-01
Poland,Armed forces occupations,2016/01,7,2016-01-01
Spain,Elementary occupations,2015/08,1751,2015-08-01
Italy,Clerical support workers,2015/09,8288,2015-09-01
Bulgaria,Clerical support workers,2016/01,826,2016-01-01
Latvia,Professionals,2016/04,342,2016-04-01
Croatia,Clerical support workers,2016/05,1451,2016-05-01
Denmark,Professionals,2016/08,302,2016-08-01
Belgium,Service and sales workers,2016/09,427,2016-09-01
Belgium,Clerical support workers,2016/10,516,2016-10-01
Poland,Elementary occupations,2016/10,1546,2016-10-01
Czech Republic,Craft and related trades workers,2015/03,103,2015-03-01
France,Craft and related trades workers,2015/05,164,2015-05-01
Finland,Elementary occupations,2015/09,205,2015-09-01
France,Craft and related trades workers,2015/10,196,2015-10-01
Finland,Managers,2015/05,235,2015-05-01
Belgium,Elementary occupations,2015/11,61,2015-11-01
Netherlands,"Plant and machine operators, and assemblers",2016/05,71,2016-05-01
Slovakia,Craft and related trades workers,2016/06,64,2016-06-01
Luxembourg,Technicians and associate professionals,2015/05,16,2015-05-01
Malta,Craft and related trades workers,2016/03,11,2016-03-01
Luxembourg,Managers,2016/04,20,2016-04-01
Finland,"Plant and machine operators, and assemblers",2015/05,99,2015-05-01
Luxembourg,Professionals,2016/08,60,2016-08-01
Greece,"Skilled agricultural, forestry and fishery workers",2016/10,61,2016-10-01
Germany,"Skilled agricultural, forestry and fishery workers",2016/08,45,2016-08-01
Malta,"Plant and machine operators, and assemblers",2015/07,9,2015-07-01
Luxembourg,"Plant and machine operators, and assemblers",2016/07,3,2016-07-01
Lithuania,Technicians and associate professionals,2015/05,362,2015-05-01
Germany,Managers,2015/05,446,2015-05-01
Lithuania,Professionals,2015/07,570,2015-07-01
Slovakia,Technicians and associate professionals,2015/07,170,2015-07-01
Romania,"Skilled agricultural, forestry and fishery workers",2015/09,441,2015-09-01
Netherlands,Managers,2016/02,384,2016-02-01
Austria,Professionals,2016/05,440,2016-05-01
Italy,Professionals,2016/06,31507,2016-06-01
Germany,Clerical support workers,2016/08,668,2016-08-01
France,Craft and related trades workers,2016/11,339,2016-11-01
Lithuania,Elementary occupations,2015/07,206,2015-07-01
Slovenia,Managers,2016/04,283,2016-04-01
Greece,Craft and related trades workers,2016/04,564,2016-04-01
Czech Republic,Service and sales workers,2016/07,435,2016-07-01
France,Clerical support workers,2015/08,610,2015-08-01
Czech Republic,Managers,2016/02,205,2016-02-01
Czech Republic,Managers,2015/04,268,2015-04-01
Belgium,Craft and related trades workers,2016/03,98,2016-03-01
Cyprus,Service and sales workers,2016/04,54,2016-04-01
Austria,Elementary occupations,2016/02,29,2016-02-01
Luxembourg,Clerical support workers,2016/08,31,2016-08-01
Estonia,Armed forces occupations,2015/09,1,2015-09-01
Luxembourg,"Plant and machine operators, and assemblers",2016/08,3,2016-08-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/11,2,2015-11-01
Luxembourg,Craft and related trades workers,2016/06,4,2016-06-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2015/09,7,2015-09-01
Bulgaria,Armed forces occupations,2016/09,1,2016-09-01
Hungary,Service and sales workers,2015/07,1220,2015-07-01
Bulgaria,Technicians and associate professionals,2015/08,1185,2015-08-01
Romania,Technicians and associate professionals,2015/10,2401,2015-10-01
Poland,Professionals,2015/10,2934,2015-10-01
Romania,Technicians and associate professionals,2015/11,2450,2015-11-01
Denmark,Managers,2015/11,52,2015-11-01
Belgium,Service and sales workers,2015/12,313,2015-12-01
Malta,Craft and related trades workers,2015/12,11,2015-12-01
Spain,Technicians and associate professionals,2016/05,11120,2016-05-01
Portugal,Professionals,2016/06,6847,2016-06-01
Germany,Technicians and associate professionals,2016/08,1106,2016-08-01
Czech Republic,Technicians and associate professionals,2016/08,542,2016-08-01
Greece,Service and sales workers,2016/10,962,2016-10-01
Belgium,Managers,2016/11,586,2016-11-01
Austria,Clerical support workers,2015/07,83,2015-07-01
Latvia,Service and sales workers,2016/02,120,2016-02-01
Slovenia,Craft and related trades workers,2016/08,205,2016-08-01
Estonia,"Plant and machine operators, and assemblers",2015/05,69,2015-05-01
Latvia,"Skilled agricultural, forestry and fishery workers",2016/03,14,2016-03-01
Luxembourg,Managers,2016/07,20,2016-07-01
Austria,Craft and related trades workers,2016/05,36,2016-05-01
Luxembourg,Service and sales workers,2015/04,2,2015-04-01
Romania,Armed forces occupations,2016/10,7,2016-10-01
Denmark,"Plant and machine operators, and assemblers",2016/06,9,2016-06-01
Greece,Armed forces occupations,2015/10,4,2015-10-01
Estonia,Armed forces occupations,2016/04,1,2016-04-01
